label,title,content
7,Joppenbergh Mountain, Joppenbergh Mountain is a nearly 500-foot (152 m) mountain in Rosendale Village a hamlet in the town of Rosendale in Ulster County New York. The mountain is composed of a carbonate bedrock overlain by glacially deposited material. It was named after Rosendale's founder Jacob Rutsen and mined throughout the late 19th century for dolostone that was used in the manufacture of natural cement.
11,Open Heart Surgery, Open Heart Surgery was released on August 8 2000 by rock band Virginwool. The band signed to Breaking/Atlantic Records after initially beginning signed to Universal Records. The album was produced and mixed by Brad Wood.I Think Her Mother Loves Me was the first single from the album. A remixed slightly poppier version was released. Better for You was the second single and it too was released in a shorter radio edit.
6,Church of SS Peter & Paul Aston, The Parish Church of St Peter and St Paul (grid reference SP082899) in Witton Lane Aston Birmingham England is a parish church in the Church of England.
12,Cheran Chozhan Pandian, Cheran Chozhan Pandian is a 1998 Tamil comedy film directed by Senthamizhan. The film features Ranjith Anand Babu and Vadivelu in lead roles. The low-budget film produced by R. Krishnamurthy had musical score by Soundaryan and was released on 25 December 1998.
12,A Shot in the Dark (1933 film), A Shot in the Dark is a 1933 British mystery film directed by George Pearson and starring Dorothy Boyd O. B. Clarence Jack Hawkins and Michael Shepley. When a wealthy old man dies suddenly a local reverend suspects something and begins to investigate.
13,Worthy Is the Lamb, Worthy is the Lamb is an outdoor drama which portrays the life death and resurrection of Christ. It was written by J. T. Adams and was shown nightly at the Crystal Coast Amphitheatre in Swansboro North Carolina. It shut down in 2002. However in a little town called Concord Vermont Worthy is the Lamb was staged in 2010. It is a different story though. The parallel story was written by C. Ryan Milligan and was directed by Al Milligan.
4,Hisakazu Tanaka, Hisakazu Tanaka (田中 久一 Tanaka Hisakazu 16 March 1889 – 27 March 1947) was a general in the Imperial Japanese Army and head of the Japanese occupation force in Hong Kong in World War II. His name is occasionally transliterated Tanaka Hisaichi.
7,Pârâul Ştreaurilor, The Pârâul Ștreaurilor is a tributary of the Rudari River in Romania.
5,HMAS Snipe, HMAS Snipe (M1102) (formerly HMS Alcaston) was a Ton class minesweeper which served in the Royal Navy (RN) and Royal Australian Navy (RAN).
0,Anjali Mukerjee's Health Total, Health Total cofounded by Dr. Anjali Mukerjee and Mr. Saurabh Mukerjee is a nutrition and neutraceuticals company from Mumbai India. The programme offers customised health programs to provide an opportunity for people to improve their diet and health.
6,Adams Avenue Bridge, The Adams Avenue Bridge is a historic bridge in Philadelphia Pennsylvania. It carries Adams Avenue over Tacony Creek in Tacony Creek Park.A two-lane triple-span closed-spandrel filled stone arch bridge built in 1901 it was listed on the National Register of Historic Places in 1988.
2,Jason Farol, Jason Farol (born April 3 1989) Is an American singer from Torrance California who placed third in the American television series Duets alongside mentor Kelly Clarkson In August 2012 Farol was signed to Viva Records and released his debut Philippine album in October 2013.
3,Masaki Yoshida, Masaki Yoshida (吉田 正樹 Yoshida Masaki born April 10 1984 in Niigata Niigata) is a Japanese footballer.
9,White Sea herring, The White Sea herring Clupea pallasii marisalbi is a subspecies of the Pacific herring Clupea pallasii in the Clupea genus of the Clupeidae family.
6,Hubbard Park Historic District, The Hubbard Park Historic District encompasses a residential development and park west of Harvard Square in Cambridge Massachusetts. The area was originally the estate of Gardiner Hubbard who had a 6-acre (2.4 ha) estate and house on nearby Brattle Street. In the 1880s Hubbard commissioned architects to build a ring of high quality homes around his mansion which was demolished in 1939 and is now the site of Hubbard Park.
9,Charaxes cynthia, Charaxes cynthia the Western Red Charaxes is a butterfly in the Nymphalidae family. It is found in Senegal Guinea Sierra Leone Liberia Ivory Coast Ghana Nigeria Cameroon Gabon the Republic of Congo the Central African Republic the Democratic Republic of Congo Uganda Angola Sudan Uganda Kenya Tanzania and Zambia.
2,Eugeniusz Geno Malkowski, Eugeniusz Geno Małkowski (Polish pronunciation: [ɛuˈɡɛɲuʂ ˈɡɛnɔ mauˈkɔfski]; 5 September 1942) is a Polish artist and painter professor of UWM in Olsztyn founder of artistic groups and associations modern art exhibition organizer and art popularizer. He is known for his speed painting happenings and actions in which he invites people to paint together. In 2005 in Belchatow he beat the Guinness World Record for the 24-hour-long-painting performance.
2,Masato Hagiwara, Masato Hagiwara (萩原 聖人 Hagiwara Masato born August 21 1971) is a Japanese actor.
5,HSC Dubravka, HSC Dubravka is a catamaran type passenger ship owned by Croatian shipping company Jadrolinija with a capacity of 306 passengers.Sisterships: Judita Karolina Novalja.
10,Ptychosema, Ptychosema is a genus of flowering plants in the legume family Fabaceae. It belongs to the subfamily Faboideae.
5,USS Williams (DD-108), The second USS Williams (DD-108) was a Wickes-class destroyer in the United States Navy during World War I later transferred to the Royal Canadian Navy as HMCS St. Clair (I65).
10,Arceuthobium siskiyouense, Arceuthobium siskiyouense is a species of dwarf mistletoe known as knobcone pine dwarf mistletoe. It is endemic to the Klamath Mountains of northern California and southern Oregon where it lives as a parasite on knobcone pine trees. This is a brownish shrub which is visible as a network of scaly stems extending above the bark of its host tree. Most of the mistletoe is located inside the host tree attached to it via haustoria which tap the tree for water and nutrients.
2,Mikako Ichikawa, Mikako Ichikawa (Ichikawa Mikako 市川実日子 born 13 June 1978) is a Japanese actress and model from Tokyo Japan. She was working as a model for the Japanese fashion magazine Olive under an exclusive contract. She appeared in the movies Blue Cutie Honey and Memories of Matsuko. For her role in Blue she won the award for Best Actress at the 24th Moscow International Film Festival.
4,Rose Bogardus, Rosalyn Rose Bogardus is a Democratic Party politician from Michigan.
3,Ben Jones (halfback), Benjamin F. H. Jones (March 18 1899 – May 17 1929) was a professional football player during the early years of the National Football League. Jones won an NFL championship with the Canton Bulldogs in 1923 one with the Cleveland Bulldogs in 1924 and another with the Frankford Yellow Jackets in 1926. He finished his career with the Chicago Cardinals in 1928. Jones died on May 17 1929 at the age of 31.
13,Home to Roost (short story), Home to Roost is a Nero Wolfe mystery novella by Rex Stout first published as Nero Wolfe and the Communist Killer in the January 1952 issue of The American Magazine. It first appeared in book form in the short-story collection Triple Jeopardy published by the Viking Press in 1952. This novella and the 1949 novel The Second Confession are notable expressions of Stout's contempt for both Communism and McCarthyism.
2,Dagny Lind, Dagny Lind (7 November 1902 – 13 January 1992) was a Swedish film actress. She appeared in 15 films between 1923 and 1977.
11,Words from the Front, Words from the Front is Tom Verlaine's third solo album released in 1982. It was issued on compact disc in 2008 by Collectors' Choice Music.
9,Anthidium edwini, Anthidium edwini is a species of bee in the family Megachilidae the leaf-cutter carder or mason bees.
0,HellermannTyton, HellermannTyton Group plc is a British company making a supplying cable management solutions for various markets. It is listedon the London Stock Exchange and is a constituent of the FTSE 250 Index.
2,Dhafer Youssef, Dhafer Youssef (Arabic: ظافر يوسف‎; born 19 November 1967 in Teboulba Tunisia) is a composer singer and oud player. He developed an interest in jazz at an early age and clandestinely listened to it during his education at a Qur'anic school. He later left Tunisia to start a jazz career and has lived in Europe since 1990 usually in Paris or Vienna. He also works in avant garde and world music where he has been nominated for awards.
8,Płatkownica, Płatkownica [pwatkɔvˈnit͡sa] is a village in the administrative district of Gmina Sadowne within Węgrów County Masovian Voivodeship in east-central Poland. It lies approximately 4 kilometres (2 mi) north of Sadowne 34 km (21 mi) north of Węgrów and 78 km (48 mi) north-east of Warsaw.
7,Medicine Lake Volcano, Medicine Lake Volcano is a large shield volcano in northeastern California about 30 miles (50 km) northeast of Mount Shasta. The volcano is located in a zone of east-west crustal extension east of the main axis of the Cascade Volcanic Arc and the Cascade Range. The 0.6-mile (1 km) thick shield is 22 miles (35 km) from east to west and 28 to 31 miles (45 to 50 km) from north to south and covers more than 770 square miles (2000 km2).
10,Ptychopetalum, Ptychopetalum is a genus of two species of flowering plants in the family Olacaceae native to the Amazon rainforest. The indigenous name for the genus is Muira Puama potency wood. The species are shrubs or small trees growing to about 14 feet in height belonging to the Olacaceae family (not to be confused with the Oleaceae or olive family) and found in Brazil.
5,Sydney Cove (1803), The Sydney Cove was a 282 ton sailing ship built in 1803 at Rotterdam Netherlands.Under the command of William Edwards she sailed from Falmouth England on 11 January 1807 with 4 male and 113 female convicts. She arrived at Port Jackson on 18 June. Three female convicts died on the voyage. Sydney Cove left Port Jackson on 26 October bound for England.
7,Teapa River, The Teapa River is a river of Mexico.
7,Nettilling Lake, Nettilling Lake [nech'iling] is a cold freshwater lake located toward the south end of Baffin Island Nunavut Canada. It is also the world's largest lake on an island with an area of 5542 km2 and a maximum length of 123 km. The lake is in the Great Plain of the Koukdjuak about 280 km northwest of Iqaluit. The Arctic Circle crosses the lake. The lake's name is of Inuktitut origin coming from the word for the adult ringed seal (netsilak). Franz Boas explored its southern shore in 1883.
11,Sinatra & Company, Sinatra & Company is an album by American singer Frank Sinatra released in 1971.The first side of this album is in the bossa nova style and the second side is influenced by soft rock featuring a couple of standards from John Denver.The bossa nova recordings were originally cut for a follow-up to the widely acclaimed Francis Albert Sinatra & Antonio Carlos Jobim.
10,Carya texana, Carya texana the black hickory is a tree in the Juglandaceae or walnut family. it is endemic to the United States. Carya texana is native to the central and southern United States. It is an endangered species in southwestern Indiana.Trees grow to 41 metres (135 ft) in height. The leaves usually have a dense coating of scales imparting rusty brown color. The fruits (nuts) are bronze to reddish brown
2,Vikram Seth, Vikram Seth (born on 20 June 1952) is an Indian novelist and poet. He has written several novel and poetry books. He has received several awards including Padma Shri Pravasi Bharatiya Samman WH Smith Literary Award and Crossword Book Award.
4,Kay Hatcher, Kay Hatcher is a Republican member of the Illinois House of Representatives representing the 50th District since her election in 2008. She announced she will not seek re election in 2014.
2,Edward Sagarin, Edward Sagarin (September 18 1913 – June 10 1986) also known by his pen name Donald Webster Cory was an American professor of sociology and criminology at the City University of New York and a writer.
7,Bilharz (crater), Bilharz is a lunar impact crater that lies in the eastern part of the Mare Fecunditatis. It is the largest member of a close triple-crater formation with Atwood to the east and Naonobu to the northeast. To the southeast is the prominent crater Langrenus.The interior of this crater has been resurfaced by basaltic lava leaving the floor flat shallow and nearly featureless. There is no central peak at the midpoint and little to mark the interior except for a few tiny craterlets.
9,Nilgiri tahr, The Nilgiri Tahr Nilgiritragus hylocrius known locally as the Nilgiri Ibex or simply Ibex is an ungulate that is endemic to the Nilgiri Hills and the southern portion of the Western Ghats in the states of Tamil Nadu and Kerala in Southern India. It is the state animal of Tamil Nadu. Despite its local name it is more closely related to the sheep of the Ovis genus than the Ibex and wild goats of the Capra genus.
5,USS Missouri (BB-11), USS Missouri (BB-11) a Maine-class battleship was the second ship of the United States Navy to be named in honor of the 24th state.Missouri was laid down on 7 February 1900 by the Newport News Shipbuilding & Drydock Company of Newport News Virginia. She was launched on 28 December 1901 sponsored by Mrs. Edson Fessenden Gallaudet daughter of United States Senator Francis Marion Cockrell of Missouri and commissioned on 1 December 1903 Captain William S. Cowles in command.
7,Lake Tritriva, Lake Tritriva is a volcanic lake in southwest-central Madagascar in the region of Vàkinankàratra located near the village of Belazao. The lake fills an extinct crater in a region notable also for the presence of many hot springs. It sits in the vent of an oval volcanic cone enclosed in vertical gneiss cliffs. The lake's water level drops during the rainy season and rises when the monsoon rains have ceased.Tritriva was drawn to the attention of the larger world by James Sibree Jr. in 1885.
9,Ceuthobotys, Ceuthobotys is a genus of moths of the Crambidae family.
11,The Way It Was (album), The Way It Was is the second studio album by American pop rock band Parachute released by Mercury Records on May 17 2011. The album debuted at number 19 on the Billboard 200 chart number 7 on the Rock Albums chart and number 4 on the Digital Albums chart. The band tested new songs What I Know White Dress Halfway Square One Break My Heart for Me and Something to Believe in during their 2010 fall tour.
10,Teixeiranthus, Teixeiranthus is a genus of flowering plants in the daisy family Asteraceae.
